title,date,source,author,category,label
Foreign Democrat final.,3/10/2023,NY Times,Paula George,Politics,real
To offer down resource great point.,5/25/2022,Fox News,Joseph Hill,Politics,fake
Himself church myself carry.,9/1/2022,CNN,Julia Robinson,Business,fake
You unit its should.,2/7/2023,Reuters,Mr. David Foster DDS,Science,fake
Billion believe employee summer how.,4/3/2023,CNN,Austin Walker,Technology,fake
Method purpose mission approach professor short.,12/2/2023,Reuters,Sherri Fry,Health,real
Laugh member step.,6/1/2022,CNN,Alyssa Young,Business,fake
Center measure difference dark.,12/31/2024,NY Times,Tina Garrett,Sports,fake
Moment make those affect first difference.,9/8/2022,Fox News,Heather Greene,Entertainment,fake
Reason physical contain total decision.,11/8/2022,Daily News,Erin Hanson,Health,real
Whose particular contain current those.,6/24/2024,Global Times,Douglas Evans,Science,real
Region itself from machine forget.,2/10/2025,Fox News,Andrew Chapman,Politics,real
Believe short Mrs parent read drug behind.,4/27/2022,Daily News,Diane Hayden,Sports,real
Bag national play wall prevent imagine design.,7/17/2023,CNN,Roy Trujillo,Sports,fake
Simple support writer husband left tough.,3/4/2025,The Guardian,Gerald Jenkins,Technology,real
Concern nice idea different.,9/17/2023,BBC,Karen Floyd MD,Politics,real
Almost gun system you.,9/14/2024,NY Times,James Williams,Business,real
Nothing firm hand employee.,11/20/2024,Fox News,David Burgess,Business,fake
Cut somebody skill.,10/15/2024,Global Times,Andrew Robinson,Sports,fake
Discover quite less option firm.,4/18/2024,Fox News,,Business,fake
Alone prepare receive prove house.,12/17/2023,Global Times,Jacqueline Matthews,Business,fake
Show technology product alone seem.,10/19/2023,,Nicole Baker,Entertainment,fake
Election finish rather social business center.,11/24/2024,NY Times,John Lynn,Health,real
Organization total about garden attack.,8/5/2022,,Tonya Anderson,Business,real
Decide rather itself heavy section.,2/24/2023,The Guardian,John Turner,Business,real
Quickly even new mind science gun.,8/12/2022,Daily News,Stephen Parks,Health,real
Early police series kind soon area.,6/28/2023,CNN,Desiree Castro,Sports,real
Next society in help in institution.,2/12/2023,NY Times,Kathy Cabrera,Technology,real
Word PM stop thus call catch offer.,8/30/2023,Fox News,Melanie Harding,Business,fake
Step data enter news plan per to development.,11/19/2023,Reuters,Maria Walker,Sports,real
Notice manager citizen view practice him.,3/17/2025,The Guardian,John Jordan,Science,real
Seven letter factor into.,5/26/2022,BBC,Thomas Carney,Business,fake
Soldier since information.,9/23/2023,Fox News,Daniel Bryan,Health,real
In away wide power.,4/26/2022,Fox News,Amy Wolf,Health,real
Any reveal stock language woman south.,4/27/2024,Daily News,Michael Meadows,Science,real
Read physical entire across.,10/7/2023,Reuters,Brianna Obrien,Politics,real
Feeling man them southern region situation alone.,12/16/2023,Global Times,Robert Wilson,Entertainment,fake
Street product contain easy reveal never.,1/15/2023,The Guardian,Devon Phillips,Sports,fake
Force newspaper least like truth wide.,8/15/2023,NY Times,Robert Mcclure,Business,fake
Night impact explain shoulder unit.,12/15/2022,Global Times,Marcus Cooke,Technology,real
Discuss over consider impact.,7/6/2022,Global Times,Matthew Smith,Technology,fake
Again past try identify both wonder.,8/22/2023,Reuters,Jon Zamora,Health,fake
Surface into there simple wait today.,3/14/2023,Daily News,Emily Bradley,Entertainment,fake
Happen movie several themselves health western.,8/6/2023,CNN,Karl Morales,Business,fake
Bill way world.,4/21/2023,NY Times,Andrea Hicks,Entertainment,fake
Individual year method somebody.,3/25/2023,The Guardian,Brian Hull,Entertainment,fake
Care manage visit account treatment eight both.,3/12/2024,NY Times,Ernest Bell,Business,real
Region head over someone discuss stay home up.,7/9/2022,Global Times,Christina Christian,Technology,fake
Too American still future.,9/18/2022,NY Times,Cheryl Wilson,Entertainment,fake
Fly writer window start fast senior natural.,5/26/2023,CNN,Tyler Melton,Technology,real
Term indicate product poor before thank western.,4/30/2022,Global Times,Mark Vega,Science,fake
Room quite season lawyer.,2/5/2025,Global Times,Michael Bradley,Health,fake
Risk describe fight clear else learn official.,3/27/2025,,Ian Rogers,Entertainment,real
Stand think however.,7/27/2024,Fox News,Brandon Pittman,Sports,real
Majority poor spend trade.,5/22/2022,Fox News,Micheal Bennett,Business,fake
People box half of other building field decide.,5/6/2023,Fox News,,Politics,fake
Kind information memory off name part.,1/11/2024,Global Times,Kristen Wilson,Health,fake
Wait discussion discover arrive public.,7/25/2023,BBC,Jessica Martinez,Science,real
Right per I car child give.,7/9/2023,Reuters,John Newman,Entertainment,fake
Police see start commercial.,2/23/2023,Daily News,Kenneth Bright,Science,fake
Push ahead yeah believe project movement.,1/18/2024,Fox News,Stacy Crawford,Health,fake
City technology act country election.,2/20/2023,NY Times,Kyle Williams,Business,real
Training bring light visit.,11/15/2024,Global Times,Shari Obrien,Sports,real
Up financial reduce situation court.,9/8/2022,Global Times,Kimberly Little,Technology,fake
Level character newspaper matter similar watch.,3/22/2023,CNN,Joshua Kelly,Technology,fake
Blood movie just design knowledge.,6/1/2023,The Guardian,Laurie Hill,Health,fake
Question also give consumer plan west among.,11/12/2024,Daily News,Christopher Morrison,Health,fake
Challenge place drop challenge some though apply message.,1/9/2024,Reuters,Kelli Shea,Entertainment,fake
Game design finish movement good machine.,11/28/2022,Fox News,Alexis Gallegos,Politics,fake
Newspaper work all important ability between get trial.,8/5/2024,Reuters,Todd Matthews,Business,fake
Require carry million card themselves main trouble.,2/25/2023,Fox News,Michael Mendez,Technology,fake
Town read reality full do total.,4/2/2024,Reuters,Jordan Brown,Health,fake
Herself force member raise it religious.,6/5/2023,Global Times,,Sports,real
Financial firm model media star.,6/15/2023,Global Times,Richard Reese,Health,real
Knowledge window while environment.,9/23/2022,Daily News,Brian Garcia,Sports,fake
City picture financial must.,4/18/2025,The Guardian,Kimberly Soto,Entertainment,real
Later factor thus back.,11/30/2022,Global Times,Angela Holmes MD,Entertainment,real
Finish nearly five southern manage point work.,5/10/2022,Global Times,,Health,real
Enjoy least add left study.,9/29/2022,Global Times,Gloria Byrd,Health,real
Cultural street another couple standard.,1/13/2024,Global Times,Meghan Moore,Science,real
Already amount safe prepare keep.,4/1/2024,CNN,,Technology,fake
Administration upon stuff across agree southern production catch.,5/12/2022,NY Times,Sabrina Phillips,Business,fake
Religious water modern manage whether low.,2/19/2024,The Guardian,Melissa Bishop,Technology,fake
Stay site way.,3/20/2024,Global Times,Joanna Skinner,Entertainment,real
Throughout since every citizen.,10/14/2023,The Guardian,Emily Cook,Business,fake
Like challenge security go.,4/5/2024,Reuters,Keith Beck,Science,real
With like staff where a nature.,3/6/2025,Fox News,William Wong,Entertainment,fake
Bar miss student manager but.,5/9/2022,Reuters,,Business,real
Lawyer artist collection skill cost why morning large.,2/27/2024,BBC,Matthew Jones,Business,fake
Item describe kid night.,8/24/2023,CNN,,Technology,fake
Enter each town forget worry modern science.,4/12/2023,Global Times,Jason Peterson,Science,fake
Upon because bad six including bill.,2/27/2025,NY Times,Jerry Rose,Science,fake
Language clear take fast vote reflect wind.,4/2/2024,Fox News,Ashley Mcgee,Sports,real
Commercial single hear door nearly their author.,9/7/2023,The Guardian,Shawn Mckee,Business,fake
Fill business many culture find.,10/26/2024,,Megan Hernandez,Sports,real
White worker west away always.,7/13/2023,Global Times,Desiree Long,Business,fake
Peace what poor popular site three trouble.,10/23/2024,Daily News,Allison Contreras,Science,real
Few ask that but.,5/25/2022,NY Times,Heidi Mcclain,Science,real
Guess against receive doctor.,12/22/2023,BBC,Donna Martinez,Sports,fake
So myself a answer artist garden easy.,7/25/2024,NY Times,Charles Torres,Science,fake
Whole collection bar language affect.,7/22/2023,Fox News,Derrick Roberts,Politics,real
Play food note center customer.,12/16/2022,,Bethany Garcia,Entertainment,fake
Middle line suffer.,6/8/2024,Fox News,Kevin Flynn,Technology,fake
Involve be order human.,12/10/2022,Fox News,Katherine Ruiz,Sports,fake
Key wrong business role.,4/21/2025,Reuters,Brett Bailey,Business,real
Everyone case join record interest hand couple.,8/20/2023,Reuters,Kristina Hawkins,Sports,real
Happy front mean production.,12/22/2022,Global Times,Heather Fowler,Business,fake
Method across result audience director.,7/13/2024,Reuters,Sherri Johnson,Business,fake
Type these method natural in him lead.,5/30/2023,Global Times,Nathaniel Thomas,Science,real
Among friend car prove war.,11/27/2023,Reuters,Maria Carlson,Sports,fake
Continue ago nothing main we.,10/11/2022,CNN,Marcus Jones,Science,fake
Foreign there I guy international determine dream.,8/3/2024,Reuters,Javier Griffin,Technology,real
Fall drop foreign fine section above value.,1/3/2023,NY Times,Luis Carlson,Technology,real
Wrong art step when on.,2/29/2024,NY Times,Kristen Thomas,Technology,real
Couple trade speech international base.,6/13/2024,CNN,Crystal Bruce,Health,real
Over send idea street program far tax.,1/15/2025,,Kimberly Howard,Health,fake
Record act hospital take value.,9/6/2024,Reuters,Heather Villa,Politics,real
Whom before quality the part owner.,1/8/2023,Fox News,Cameron Patel,Politics,real
Mrs best leave a police into analysis.,9/18/2022,NY Times,Leslie Wilson,Entertainment,real
Customer show television moment.,12/1/2022,Daily News,Dr. Joseph Irwin,Sports,real
Whole plan read without use step believe.,3/9/2024,CNN,Dr. Nicole Hartman,Health,fake
Perhaps into certain let sea event.,5/17/2024,BBC,Javier Williams,Entertainment,real
Onto factor modern arrive black list fast.,9/26/2022,CNN,Jessica Hernandez,Health,fake
Article theory great.,10/22/2022,Daily News,Jonathon Lambert,Politics,fake
Fight sort learn amount travel.,12/5/2023,Fox News,Megan Boyd,Science,fake
Serve former beat performance Mrs until wife.,3/8/2023,The Guardian,Kevin Smith,Business,fake
Go see hear instead also maybe seven.,3/29/2023,The Guardian,Lori Melendez,Politics,fake
Economy sit air space.,4/15/2025,Global Times,Melissa Webb,Science,fake
Suddenly go management spend than.,6/2/2022,CNN,Bruce Adams,Business,fake
Decision enter subject reach knowledge forward probably.,11/30/2024,Fox News,Tammy Camacho,Health,fake
Medical voice major beat budget close.,7/26/2023,The Guardian,Dylan Hester,Sports,fake
Box nearly green natural avoid.,8/11/2024,,Kendra Chen,Health,fake
Reason challenge wish why.,2/16/2025,CNN,Paula Turner,Science,real
Current process protect car letter happen ball.,9/1/2023,CNN,Denise Ray,Politics,fake
Feeling care weight official improve how leg.,10/16/2022,BBC,Lori Espinoza,Technology,real
Time dog sound matter.,4/15/2024,Global Times,Wendy Martinez,Sports,real
Win relate great ago.,3/25/2023,Daily News,Alexander Robinson,Technology,fake
Receive always art few key box.,11/12/2024,Global Times,Christopher Castillo,Business,fake
Risk month type watch red hard remember.,9/20/2024,,Kyle Wilkerson,Technology,real
Design letter impact safe consumer.,12/11/2022,Reuters,William Joseph,Sports,fake
Save yard support whether.,4/13/2023,Daily News,Nathan Wiggins,Entertainment,fake
Better work relate final me dark.,5/28/2022,NY Times,Amber Barton,Technology,real
Find support stage baby behavior group month.,10/20/2024,Global Times,Joshua Ward,Entertainment,real
Market kid statement research note score project.,3/16/2023,Fox News,Tara Gonzalez,Business,real
Standard important community enough experience herself talk.,2/6/2025,,Kenneth White,Science,real
Social husband wide eat maintain who.,4/11/2024,CNN,Paul Stewart,Science,real
Friend professional participant.,10/3/2024,BBC,Becky Haas,Sports,real
Since Mr particular according place walk heart.,1/12/2025,The Guardian,Deborah Watson,Politics,fake
Car then ever west interview project song.,8/11/2022,NY Times,John Jones,Health,fake
